fid,iid,pid
PU1,PU1,Luapula
PU10,PU10,Luapula
PU11,PU11,Luapula
PU12,PU12,Luapula
PU13,PU13,Luapula
PU14,PU14,Luapula
PU15,PU15,Luapula
PU16,PU16,Luapula
PU17,PU17,Northern
PU18,PU18,Northern
PU19,PU19,Northern
PU2,PU2,Luapula
PU20,PU20,Northern
PU22,PU22,Northern
PU23,PU23,Northern
PU24,PU24,Northern
PU25,PU25,Northern
PU26,PU26,Northern
PU28,PU28,Northern
PU3,PU3,Luapula
PU4,PU4,Luapula
PU5,PU5,Luapula
PU6,PU6,Luapula
PU7,PU7,Luapula
PU8,PU8,Luapula
PU9,PU9,Luapula
Sample5024006,Sample5024006,Luapula
Sample5024008,Sample5024008,Luapula
Sample5024009,Sample5024009,Luapula
Sample5024011,Sample5024011,Luapula
Sample5024012,Sample5024012,Luapula
Sample5024019,Sample5024019,Luapula
Sample5024029,Sample5024029,Luapula
Sample5024047,Sample5024047,Luapula
Sample5024051,Sample5024051,Luapula
Sample5024054,Sample5024054,Luapula
Sample5024055,Sample5024055,Luapula
Sample5024056,Sample5024056,Luapula
Sample5024069,Sample5024069,Luapula
Sample5024082,Sample5024082,Luapula
Sample5024083,Sample5024083,Luapula
Sample5024085,Sample5024085,Luapula
Sample5024086,Sample5024086,Luapula
Sample5024096,Sample5024096,Luapula
Sample5024113,Sample5024113,Western
Sample5024165,Sample5024165,Western
Sample5024171,Sample5024171,Western
Sample5024173,Sample5024173,Western
Sample5024179,Sample5024179,Western
Sample5024226,Sample5024226,Luapula
Sample5024244,Sample5024244,Copperbelt
Sample5024252,Sample5024252,Luapula
Sample5024262,Sample5024262,Luapula
Sample5024264,Sample5024264,Luapula
Sample5024275,Sample5024275,North-Western
Sample5024310,Sample5024310,Northern
Sample5024360,Sample5024360,Northern
Sample5024364,Sample5024364,Northern
Sample5024376,Sample5024376,Eastern
Sample5024414,Sample5024414,Luapula
Sample5024416,Sample5024416,Luapula
Sample5024442,Sample5024442,Luapula
Sample5024461,Sample5024461,Western
Sample5024463,Sample5024463,Luapula
Sample5024465,Sample5024465,Western
Sample5024467,Sample5024467,Western
Sample5024469,Sample5024469,Western
Sample5024472,Sample5024472,Western
Sample5024473,Sample5024473,Western
Sample5024475,Sample5024475,Western
Sample5024476,Sample5024476,Western
Sample5024485,Sample5024485,North-Western
Sample5024500,Sample5024500,North-Western
Sample5024504,Sample5024504,North-Western
Sample5024513,Sample5024513,North-Western
Sample5024515,Sample5024515,North-Western
Sample5024525,Sample5024525,Muchinga
Sample5024535,Sample5024535,Eastern
Sample5024536,Sample5024536,Eastern
Sample5024549,Sample5024549,Eastern
Sample5024591,Sample5024591,North-Western
Sample5024608,Sample5024608,Eastern
Sample5024610,Sample5024610,Eastern
Sample5024673,Sample5024673,Luapula
Sample5024680,Sample5024680,Luapula
Sample5024681,Sample5024681,Luapula
Sample5024686,Sample5024686,Luapula
Sample5024697,Sample5024697,Luapula
Sample5024701,Sample5024701,Luapula
Sample5024704,Sample5024704,Luapula
Sample5024706,Sample5024706,Luapula
Sample5024711,Sample5024711,Luapula
Sample5024719,Sample5024719,Luapula
Sample5024771,Sample5024771,Western
Sample5024818,Sample5024818,Luapula
Sample5024819,Sample5024819,Luapula
Sample5024820,Sample5024820,Luapula
Sample5024831,Sample5024831,Luapula
Sample5024833,Sample5024833,Luapula
Sample5024838,Sample5024838,Luapula
Sample5024839,Sample5024839,Luapula
Sample5024884,Sample5024884,Muchinga
Sample5024937,Sample5024937,Western
Sample5024964,Sample5024964,Western
Sample5024981,Sample5024981,Luapula
Sample5024992,Sample5024992,Luapula
Sample5024996,Sample5024996,Luapula
Sample5025065,Sample5025065,North-Western
Sample5025076,Sample5025076,North-Western
Sample5025089,Sample5025089,North-Western
Sample5025095,Sample5025095,North-Western
Sample5025098,Sample5025098,Other
Sample5025114,Sample5025114,Luapula
Sample5025116,Sample5025116,Luapula
Sample5025117,Sample5025117,Luapula
Sample5025118,Sample5025118,Luapula
Sample5025119,Sample5025119,Luapula
Sample5025122,Sample5025122,Luapula
Sample5025123,Sample5025123,Luapula
Sample5025125,Sample5025125,Luapula
Sample5025199,Sample5025199,Western
Sample5025257,Sample5025257,Luapula
Sample5025261,Sample5025261,Luapula
Sample5025262,Sample5025262,Luapula
Sample5025263,Sample5025263,Luapula
Sample5025264,Sample5025264,Luapula
Sample5025266,Sample5025266,Luapula
Sample5025268,Sample5025268,Luapula
Sample5025289,Sample5025289,Western
Sample5025291,Sample5025291,Western
Sample5025334,Sample5025334,Luapula
Sample5025335,Sample5025335,Western
Sample5025398,Sample5025398,Luapula
Sample5025468,Sample5025468,Other
Sample5025499,Sample5025499,Luapula
