"","iid1","iid2","sharedLength","weight"
"1","PU23","PU24",21135898,1
"2","Sample5024179","Sample5024465",21135898,1
"3","Sample5024461","Sample5024472",21135898,1
"4","Sample5026718","Sample5026771",21116930,0.999102569476821
"5","PU17","PU20",21106013,0.998586054872142
"6","Sample5024226","Sample5026452",21005604,0.993835416881743
"7","Sample5025964","Sample5027250",20869573,0.987399399826778
"8","PU18","Sample5024310",19349763,0.915492826469923
"9","Sample5025263","Sample5025264",12441761,0.588655424056267
"10","Sample5024171","Sample5024467",11018173,0.521301389702013
"11","Sample5024500","Sample5026773",10740627,0.508169891811552
"12","Sample5024171","Sample5024472",7810469,0.369535706502747
"13","Sample5024171","Sample5024461",7747683,0.366565120630313
"14","Sample5024467","Sample5024469",7530108,0.356271022882491
"15","Sample5024171","Sample5024469",7403040,0.350259071083708
"16","Sample5024165","Sample5024173",6343032,0.300107050100261
"17","PU14","Sample5024706",4814555,0.227790416096823
"18","Sample5026399","Sample5026400",4110738,0.194490813685797
"19","Sample5025941","Sample5025958",3652805,0.172824689066914
"20","Sample5026712","Sample5026735",3152012,0.149130734828489
"21","Sample5025941","Sample5025942",2676581,0.126636729605716
"22","Sample5025125","Sample5026438",1815468,0.0858950019535484
"23","Sample5026133","Sample5026134",1728008,0.0817570183202058
"24","Sample5024701","Sample5024819",916855,0.0433790416664577
"25","PU28","Sample5024054",812781,0.0384550020065388
"26","Sample5024996","Sample5026152",801684,0.0379299710852125
"27","Sample5024008","Sample5024416",789724,0.0373641091568477
"28","Sample5025263","Sample5026133",773964,0.0366184583214775
"29","PU28","Sample5024416",731872,0.0346269649862996
"30","PU8","Sample5025257",703936,0.0333052326425875
"31","Sample5024086","Sample5026468",692116,0.0327459945160598
"32","Sample5024006","Sample5025953",685830,0.0324485858135765
"33","PU28","Sample5026468",602410,0.0285017461761029
"34","Sample5025264","Sample5026133",557267,0.0263659012737476
"35","PU28","Sample5024086",551948,0.0261142441168102
"36","Sample5025117","Sample5025118",490773,0.0232198792783727
"37","PU9","Sample5024086",476208,0.0225307673229687
"38","Sample5024252","Sample5024549",476208,0.0225307673229687
"39","PU14","PU16",471768,0.0223206981789939
"40","Sample5024820","Sample5025954",437759,0.0207116347741648
"41","Sample5024839","Sample5025684",435426,0.0206012538478375
"42","Sample5024012","Sample5024473",434866,0.0205747586404893
"43","Sample5024006","Sample5024686",420770,0.0199078364212394
"44","PU14","Sample5025263",417162,0.0197371315853246
"45","PU8","Sample5026443",416879,0.0197237420430398
"46","Sample5024008","Sample5026437",415315,0.0196497447139459
"47","Sample5026032","Sample5026437",401125,0.0189783750848911
"48","Sample5024839","Sample5026468",391722,0.018533492165793
"49","Sample5025941","Sample5026316",374983,0.0177415220304337
"50","PU14","Sample5026916",372342,0.0176165687400649
"51","Sample5024981","Sample5026437",362487,0.0171503004036072
"52","Sample5024008","Sample5024086",357155,0.0168980281793563
"53","Sample5024884","Sample5025982",330521,0.0156378971927287
"54","Sample5024008","Sample5026468",330133,0.015619539799066
"55","PU15","Sample5024704",316003,0.0149510089422271
"56","PU16","Sample5024711",311180,0.0147228189689409
"57","Sample5025942","Sample5025958",309691,0.0146523701051169
"58","Sample5024006","Sample5026032",308925,0.0146161284464942
"59","Sample5024165","Sample5024771",308925,0.0146161284464942
"60","Sample5024473","Sample5024549",308925,0.0146161284464942
"61","PU9","Sample5026433",307183,0.0145337094264933
"62","Sample5024012","Sample5025118",303986,0.0143824501802573
"63","Sample5024179","Sample5024771",299694,0.0141793833410816
"64","Sample5024465","Sample5024771",299694,0.0141793833410816
"65","Sample5024771","Sample5025089",299694,0.0141793833410816
"66","Sample5026316","Sample5026871",298910,0.0141422900507942
"67","Sample5024165","Sample5026437",294574,0.0139371414453268
"68","Sample5024173","Sample5024771",291874,0.0138093966956124
"69","Sample5024173","Sample5025089",291874,0.0138093966956124
"70","Sample5024056","Sample5026437",283546,0.0134153751120487
"71","Sample5025065","Sample5026403",283546,0.0134153751120487
"72","Sample5026142","Sample5026443",282385,0.0133604448696715
"73","Sample5024461","Sample5025542",274753,0.012999353043812
"74","Sample5025654","Sample5026718",274011,0.0129642468940757
"75","Sample5025654","Sample5026771",274011,0.0129642468940757
"76","Sample5025089","Sample5025958",270795,0.0128120887033047
"77","Sample5025263","Sample5026134",269960,0.0127725824566337
"78","PU9","Sample5024012",269774,0.0127637822627645
"79","Sample5024096","Sample5026441",268554,0.0127060605610417
"80","Sample5024472","Sample5025542",267163,0.0126402483585036
"81","PU25","Sample5024706",261828,0.0123878341956419
"82","Sample5024173","Sample5026916",261590,0.012376573732519
"83","Sample5024165","Sample5024473",258166,0.0122145744647329
"84","Sample5024704","Sample5025266",257005,0.0121596442223557
"85","Sample5025089","Sample5025398",255794,0.0121023483364653
"86","Sample5025089","Sample5026483",255794,0.0121023483364653
"87","Sample5026483","Sample5026916",255514,0.0120891007327912
"88","Sample5024818","Sample5026814",247862,0.0117270626495264
"89","PU14","Sample5024056",247806,0.0117244131287916
"90","Sample5026588","Sample5026910",247630,0.011716086063625
"91","PU28","Sample5026437",242704,0.0114830228647016
"92","Sample5024697","Sample5026437",239319,0.0113228687988559
"93","Sample5024056","Sample5025468",239034,0.0113093846308304
"94","PU26","Sample5026438",234766,0.0111074533005411
"95","Sample5024054","Sample5024086",234624,0.0111007348729635
"96","Sample5026433","Sample5026773",232882,0.0110183158529626
"97","Sample5024096","Sample5026460",232234,0.0109876571130311
"98","Sample5024262","Sample5024525",230265,0.0108944980714801
"99","Sample5024610","Sample5025548",230265,0.0108944980714801
"100","PU15","PU26",226482,0.0107155134832691
"101","PU26","Sample5024992",226467,0.0107148037902151
"102","Sample5025982","Sample5026403",226465,0.0107147091644746
"103","Sample5025548","Sample5026910",223796,0.0105884311137383
"104","Sample5024173","Sample5026302",222307,0.0105179822499143
"105","PU7","Sample5026450",222132,0.010509702497618
"106","Sample5025264","Sample5026134",221573,0.0104832546031401
"107","Sample5024165","Sample5026483",219673,0.0103933601496374
"108","PU15","Sample5024055",215566,0.0101990461914606
