"fid1","iid1","fid2","iid2","m","ibd0","ibd1","ibd2"
"Luapula","PU1","Luapula","PU10",20,1,0,0
"Luapula","PU1","Luapula","PU11",20,1,0,0
"Luapula","PU1","Luapula","PU12",5.76027527352894,0.937,0.062,0.001
"Luapula","PU1","Luapula","PU13",20,1,0,0
"Luapula","PU1","Luapula","PU14",1.60384051092685,0.342,0.658,0
"Luapula","PU1","Luapula","PU15",1.72499295250013,0.395,0.605,0
"Luapula","PU1","Luapula","PU16",20,1,0,0
"Luapula","PU1","Northern","PU17",20,1,0,0
"Luapula","PU1","Northern","PU18",20,1,0,0
"Luapula","PU1","Northern","PU19",20,1,0,0
"Luapula","PU1","Luapula","PU2",5.23230383485223,0.928,0.07,0.001
"Luapula","PU1","Northern","PU20",20,1,0,0
"Luapula","PU1","Northern","PU22",20,1,0,0
"Luapula","PU1","Northern","PU23",20,1,0,0
"Luapula","PU1","Northern","PU24",20,1,0,0
"Luapula","PU1","Northern","PU25",1.62816238266958,0.353,0.647,0
"Luapula","PU1","Northern","PU26",20,1,0,0
"Luapula","PU1","Northern","PU28",1.79836613883035,0.425,0.575,0
"Luapula","PU1","Luapula","PU3",20,1,0,0
"Luapula","PU1","Luapula","PU4",2.1456053222469,0.548,0.452,0
"Luapula","PU1","Luapula","PU5",5.10153802646206,0.9,0.097,0.003
"Luapula","PU1","Luapula","PU6",20,1,0,0
"Luapula","PU1","Luapula","PU7",20,1,0,0
"Luapula","PU1","Luapula","PU8",20,1,0,0
"Luapula","PU1","Luapula","PU9",1.49410907027004,0.29,0.71,0
"Luapula","PU1","Luapula","Sample5024006",4.52010472869188,0.85,0.144,0.006
"Luapula","PU1","Luapula","Sample5024008",4.32192809488736,0.837,0.156,0.007
"Luapula","PU1","Luapula","Sample5024009",20,1,0,0
"Luapula","PU1","Luapula","Sample5024011",2.46992925777492,0.639,0.361,0
"Luapula","PU1","Luapula","Sample5024012",20,1,0,0
"Luapula","PU1","Luapula","Sample5024019",20,1,0,0
"Luapula","PU1","Luapula","Sample5024029",20,1,0,0
"Luapula","PU1","Luapula","Sample5024047",20,1,0,0
"Luapula","PU1","Luapula","Sample5024051",1.49817873457909,0.292,0.708,0
"Luapula","PU1","Luapula","Sample5024054",1.88629950083527,0.459,0.541,0
"Luapula","PU1","Luapula","Sample5024055",1.63935479753978,0.358,0.642,0
"Luapula","PU1","Luapula","Sample5024056",20,1,0,0
"Luapula","PU1","Luapula","Sample5024069",2.48196850739783,0.642,0.358,0
"Luapula","PU1","Luapula","Sample5024082",20,1,0,0
"Luapula","PU1","Luapula","Sample5024083",4.18982455888,0.793,0.195,0.012
"Luapula","PU1","Luapula","Sample5024085",20,1,0,0
"Luapula","PU1","Luapula","Sample5024086",1.36959452851768,0.226,0.774,0
"Luapula","PU1","Luapula","Sample5024096",2.11403524324603,0.538,0.462,0
"Luapula","PU1","Western","Sample5024113",20,1,0,0
"Luapula","PU1","Western","Sample5024165",20,1,0,0
"Luapula","PU1","Western","Sample5024171",1.68269593163809,0.377,0.623,0
"Luapula","PU1","Western","Sample5024173",20,1,0,0
"Luapula","PU1","Western","Sample5024179",20,1,0,0
"Luapula","PU1","Luapula","Sample5024226",20,1,0,0
"Luapula","PU1","Copperbelt","Sample5024244",20,1,0,0
"Luapula","PU1","Luapula","Sample5024252",2.34373246520571,0.606,0.394,0
"Luapula","PU1","Luapula","Sample5024262",20,1,0,0
"Luapula","PU1","Luapula","Sample5024264",1.2584251525812,0.164,0.836,0
"Luapula","PU1","North-Western","Sample5024275",20,1,0,0
"Luapula","PU1","Northern","Sample5024310",20,1,0,0
"Luapula","PU1","Northern","Sample5024360",20,1,0,0
"Luapula","PU1","Northern","Sample5024364",4.29278174922785,0.814,0.176,0.01
"Luapula","PU1","Eastern","Sample5024376",2.58207999218804,0.666,0.334,0
"Luapula","PU1","Luapula","Sample5024414",4.467605550083,0.831,0.161,0.008
"Luapula","PU1","Luapula","Sample5024416",3.88535743405888,0.752,0.23,0.018
"Luapula","PU1","Luapula","Sample5024442",20,1,0,0
"Luapula","PU1","Western","Sample5024461",20,1,0,0
"Luapula","PU1","Luapula","Sample5024463",20,1,0,0
"Luapula","PU1","Western","Sample5024465",20,1,0,0
"Luapula","PU1","Western","Sample5024467",20,1,0,0
"Luapula","PU1","Western","Sample5024469",20,1,0,0
"Luapula","PU1","Western","Sample5024472",20,1,0,0
