ccm_EA_pca.sample.id	popEA	EV1	EV2
Sample5025684	Zambia	-0.000992009296748735	-0.0123498907705484
Sample5026290	Zambia	-0.00368600973085554	-0.0287778924781924
PU26	Zambia	-0.00028413325712971	-0.005475289128252
Sample5024055	Zambia	0.000985708177350207	-0.00903667906149109
PU15	Zambia	0.00258323227944217	-0.0240080305572365
Sample5025548	Zambia	-0.00744276401086189	-0.0213282735592546
Sample5025261	Zambia	0.000358541449498442	-0.0142731365289019
PU1	Zambia	-0.0105781496411065	-0.0453165422688587
Sample5025118	Zambia	0.00249996455953312	-0.0132695991743688
Sample5026175	Zambia	-0.00471500780505479	-0.0226293670998935
PU8	Zambia	-0.00776467986429298	-0.0310870203557514
PU9	Zambia	0.027787702551627	-0.0215324551127093
Sample5025942	Zambia	-0.00339090110455082	0.00935652751718752
PU23	Zambia	-0.00901244434564806	-0.0401956329679052
Sample5026578	Zambia	-0.00136135074807449	-0.00788575293959298
Sample5025954	Zambia	-0.000148872821871049	-0.0173912253730293
Sample5025114	Zambia	-0.00173931115288796	-0.0151712135125265
Sample5025776	Zambia	-0.0118241975882212	0.00834913793585817
Sample5025957	Zambia	-0.00317512746790811	-0.026282612355411
Sample5026312	Zambia	-0.0142275840941476	-0.0420433611359313
PU14	Zambia	-0.00759032936149091	-0.0257572369649754
Sample5024082	Zambia	-0.0147912977283968	-0.0310083073724532
Sample5026402	Zambia	-0.00872138070600689	-0.027984952464103
PU7	Zambia	-0.000505895378784536	-0.0286813914233784
PU20	Zambia	-0.000494241720277885	-0.00970763844533987
Sample5026161	Zambia	-0.00392551318902685	-0.0287486116466139
Sample5026773	Zambia	-0.00253254753754978	-0.0206033277061339
Sample5025398	Zambia	-0.00564131426565543	-0.0231452702463648
Sample5026399	Zambia	-0.00321538389629123	-0.0237219007519435
Sample5027250	Zambia	-0.00737307491952842	-0.024637091600453
PU16	Zambia	-0.00628738813848236	-0.0271242090256211
Sample5025199	Zambia	-0.0125862018138518	-0.0392652877543631
PU10	Zambia	-0.00988156774246381	-0.031037102265983
Sample5025982	Zambia	0.00723103943112983	-0.0129979833411031
Sample5026206	Zambia	-0.00679180240886642	-0.0221386537026129
Sample5026911	Zambia	0.000503655737958457	0.0319831391825473
Sample5024056	Zambia	-0.00678899181362875	-0.0328304562068435
Sample5026392	Zambia	-0.00161143950314377	-0.0266525149940653
Sample5025967	Zambia	-0.00386570629586033	-0.0288491737027198
PU24	Zambia	-0.0125776849867255	-0.0432075347319144
