# Program:featureCounts v2.0.6; Command:"./bin/featureCounts" "-a" "PlasmoDB-65_Pfalciparum3D7.gff" "-o" "test3" "-p" "-B" "-C" "/depot/heqixin/data/Pf_282samples_bam_BQSR/Sample5027250_recal_realn.bam" 
Geneid	Chr	Start	End	Strand	Length	/depot/heqixin/data/Pf_282samples_bam_BQSR/Sample5027250_recal_realn.bam
PF3D7_0100100	Pf3D7_01_v3;Pf3D7_01_v3	29510;35888	34762;37126	+;+	6492	142574
PF3D7_0100200	Pf3D7_01_v3;Pf3D7_01_v3	38982;40154	39923;40207	-;-	996	28278
PF3D7_0100300	Pf3D7_01_v3;Pf3D7_01_v3	42367;43775	43617;46507	-;-	3984	126424
PF3D7_0100400	Pf3D7_01_v3;Pf3D7_01_v3	50363;50572	50416;51636	+;+	1119	17951
PF3D7_0100500	Pf3D7_01_v3	53169	53280	-	112	13255
PF3D7_0100600	Pf3D7_01_v3;Pf3D7_01_v3	53778;54938	54788;55006	-;-	1080	41496
PF3D7_0100700	Pf3D7_01_v3	56690	56893	-	204	3479
PF3D7_0100800	Pf3D7_01_v3;Pf3D7_01_v3	59772;60023	59825;61003	+;+	1035	9955
PF3D7_0100900	Pf3D7_01_v3;Pf3D7_01_v3	62187;63347	63185;63400	-;-	1053	16801
PF3D7_0101000	Pf3D7_01_v3;Pf3D7_01_v3	65817;66918	66821;66989	-;-	1077	13819
PF3D7_0101100	Pf3D7_01_v3;Pf3D7_01_v3	69304;70349	70164;70417	-;-	930	22474
PF3D7_0101200	Pf3D7_01_v3;Pf3D7_01_v3	71624;71803	71692;72426	+;+	693	20281
PF3D7_0101300	Pf3D7_01_v3;Pf3D7_01_v3	74295;74728	74631;75622	+;+	1232	12976
PF3D7_0101400	Pf3D7_01_v3	75982	76809	-	828	11719
PF3D7_0101500	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	78241;79257;79526	79254;79523;79891	+;+;+	1647	95166
PF3D7_0101600	Pf3D7_01_v3;Pf3D7_01_v3	81765;83053	82820;83106	-;-	1110	48319
PF3D7_0101700	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	84791;85389;85880	85387;85877;86152	-;-;-	1359	62858
PF3D7_0101800	Pf3D7_01_v3;Pf3D7_01_v3	87203;88109	88003;88177	-;-	870	18089
PF3D7_0101900	Pf3D7_01_v3;Pf3D7_01_v3	90242;91352	91204;91420	-;-	1032	10098
PF3D7_0102000	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	93113;93594;93689	93591;93686;93875	-;-;-	759	746
PF3D7_0102100	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	95050;95168;95205;95813	95166;95203;95810;95899	+;+;+;+	846	3851
PF3D7_0102200	Pf3D7_01_v3;Pf3D7_01_v3	97590;99220	99013;103615	+;+	5820	46009
PF3D7_0102300	Pf3D7_01_v3;Pf3D7_01_v3	104058;104928	104775;105792	+;+	1583	1479
PF3D7_0102400	Pf3D7_01_v3	107197	108348	-	1152	6748
PF3D7_0102500	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	109005;110962;111167;111338	110823;111050;111245;117516	-;-;-;-	8166	57929
PF3D7_0102600	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	118812;119272;121148	119121;120981;122534	-;-;-	3407	18308
PF3D7_0102700	Pf3D7_01_v3;Pf3D7_01_v3	124394;124726	124588;126213	+;+	1683	3507
PF3D7_0102800	Pf3D7_01_v3	125835	128373	-	2539	3804
PF3D7_0102900	Pf3D7_01_v3	128569	131554	-	2986	11410
PF3D7_0103000	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	131609;132281;132481;132693;133017;133285;133513	132153;132355;132597;132929;133115;133356;134133	-;-;-;-;-;-;-	1766	3729
PF3D7_0103100	Pf3D7_01_v3	134155	140371	-	6217	33639
PF3D7_0103200	Pf3D7_01_v3;Pf3D7_01_v3	140494;141340	141086;143049	-;-	2303	9689
PF3D7_0103300	Pf3D7_01_v3	143389	146959	-	3571	22905
PF3D7_0103400	Pf3D7_01_v3	147031	152795	-	5765	56755
PF3D7_0103500	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	153669;156657;159141;159319;159556;159756;160088	156520;158966;159234;159431;159645;159936;160630	+;+;+;+;+;+;+	6183	36454
PF3D7_0103600	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	160673;165553;166033	165282;165808;166273	+;+;+	5107	14663
PF3D7_0103700	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	166497;167658;168090;168305;168489;168626	167557;167926;168206;168362;168545;168687	+;+;+;+;+;+	1624	3811
PF3D7_0103800	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	168768;169216;169400;169598;169821;170042;170405;170733;170956;171152	169126;169317;169455;169702;169890;170283;170606;170855;171028;171442	-;-;-;-;-;-;-;-;-;-	1623	9936
PF3D7_0103900	Pf3D7_01_v3	172470	175055	+	2586	6680
PF3D7_0104000	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	175609;175834;175998	175666;175888;176376	+;+;+	492	1300
PF3D7_0104100	Pf3D7_01_v3;Pf3D7_01_v3	177187;179190	178861;181825	+;+	4311	13245
PF3D7_0104200	Pf3D7_01_v3	182205	184820	-	2616	11784
PF3D7_0104300	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	188420;197550;200891	197316;200661;201324	+;+;+	12443	58469
PF3D7_0104400	Pf3D7_01_v3	201354	204250	+	2897	10364
PF3D7_0104500	Pf3D7_01_v3	204368	205612	-	1245	4377
